USE cinema_management_system;
INSERT INTO Customer(customerId, movieID, theaterID, customerName, customerGender, customerAge, customerEmail, customerPhone, customerAddress)
VALUES
(1, 180, 13, 'Senghort Kry', 'F', 55, 'SenghortKry@gmail.com', 8326690793, 'New York City, New York'),
(121, 91, 13, 'Sophia Reed', 'F', 31, 'SophiaReed@gmail.com', '7865432178', 'Miami, Florida'),
(122, 457, 7, 'Oliver Bell', 'M', 28, 'OliverBell@gmail.com', '6789012345', 'Atlanta, Georgia'),
(123, 57, 18, 'Emma Thompson', 'F', 29, 'EmmaThompson@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(124, 79, 5, 'William Stewart', 'M', 32, 'WilliamStewart@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(125, 349, 10, 'Olivia White', 'F', 35, 'OliviaWhite@gmail.com', '2134567890', 'Los Angeles, California'),
(126, 98, 16, 'Noah Young', 'M', 26, 'NoahYoung@gmail.com', '5127893456', 'Austin, Texas'),
(127, 466, 2, 'Ava Foster', 'F', 30, 'AvaFoster@gmail.com', '4156789012', 'San Francisco, California'),
(128, 58, 9, 'Lucas Simmons', 'M', 31, 'LucasSimmons@gmail.com', '7865432178', 'Miami, Florida'),
(129, 59, 14, 'Isabella Coleman', 'F', 27, 'IsabellaColeman@gmail.com', '6789012345, Atlanta', 'Georgia'),
(130, 369, 3, 'Liam Russell', 'M', 29, 'LiamRussell@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(131, 76, 11, 'Mia Ward', 'F', 32, 'MiaWard@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(132, 478, 17, 'Elijah Johnson', 'M', 35, 'ElijahJohnson@gmail.com', '2134567890', 'Los Angeles, California'),
(133, 59, 4, 'Sophia Reed', 'F', 26, 'SophiaReed@gmail.com', '5127893456', 'Austin, Texas'),
(134, 79, 1, 'Oliver Anderson', 'M', 30, 'OliverAnderson@gmail.com', '4156789012', 'San Francisco, California'),
(135, 385, 13, 'Mia Collins', 'F', 31, 'MiaCollins@gmail.com', '7865432178', 'Miami, Florida'),
(136, 59, 7, 'Noah Peterson', 'M', 28, 'NoahPeterson@gmail.com', '6789012345', 'Atlanta, Georgia');



INSERT INTO Customer(customerId, movieID, theaterID, customerName, customerGender, customerAge, customerEmail, customerPhone, customerAddress)
VALUES
(137, 93, 12, 'Ava Foster', 'F', 29, 'AvaFoster@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(138, 477, 18, 'Lucas Simmons', 'M', 32, 'LucasSimmons@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(139, 196, 10, 'Isabella Coleman', 'F', 35, 'IsabellaColeman@gmail.com', '2134567890', 'Los Angeles, California'),
(140, 172, 16, 'Elijah Johnson', 'M', 26, 'ElijahJohnson@gmail.com', '5127893456', 'Austin, Texas'),
(141, 404, 2, 'Sophia Reed', 'F', 30, 'SophiaReed@gmail.com', '4156789012', 'San Francisco, California'),
(142, 421, 9, 'Oliver Anderson', 'M', 31, 'OliverAnderson@gmail.com', '7865432178', 'Miami, Florida'),
(143, 460, 15, 'Mia Collins', 'F', 27, 'MiaCollins@gmail.com', '6789012345', 'Atlanta, Georgia'),
(144, 126, 3, 'Noah Peterson', 'M', 29, 'NoahPeterson@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(145, 438, 11, 'Ava Foster', 'F', 32, 'AvaFoster@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(146, 428, 17, 'Lucas Simmons', 'M', 35, 'LucasSimmons@gmail.com', '2134567890', 'Los Angeles, California'),
(147, 38, 4, 'Isabella Coleman', 'F', 26, 'IsabellaColeman@gmail.com', '5127893456', 'Austin, Texas'),
(148, 492, 1, 'Elijah Johnson', 'M', 30, 'ElijahJohnson@gmail.com', '4156789012', 'San Francisco, California'),
(149, 91, 13, 'Sophia Reed', 'F', 31, 'SophiaReed@gmail.com', '7865432178', 'Miami, Florida'),
(150, 433, 7, 'Oliver Anderson', 'M', 28, 'OliverAnderson@gmail.com', '6789012345', 'Atlanta, Georgia'),
(151, 334, 12, 'Mia Collins', 'F', 29, 'MiaCollins@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(152, 363, 18, 'Noah Peterson', 'M', 32, 'NoahPeterson@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(153, 421, 5, 'Ava Foster', 'F', 35, 'AvaFoster@gmail.com', '2134567890', 'Los Angeles, California'),
(154, 436, 10, 'Lucas Simmons', 'M', 26, 'LucasSimmons@gmail.com', '5127893456', 'Austin, Texas'),
(155, 95, 16, 'Isabella Coleman', 'F', 30, 'IsabellaColeman@gmail.com', '4156789012', 'San Francisco, California'),
(156, 157, 2, 'Elijah Johnson', 'M', 31, 'ElijahJohnson@gmail.com', '7865432178', 'Miami, Florida'),
(157, 88, 6, 'Sophia Reed', 'F', 27, 'SophiaReed@gmail.com', '6789012345', 'Atlanta, Georgia'),
(158, 211, 14, 'Oliver Anderson', 'M', 29, 'OliverAnderson@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(159, 407, 5, 'Mia Collins', 'F', 32, 'MiaCollins@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(160, 438, 12, 'Noah Peterson', 'M', 35, 'NoahPeterson@gmail.com', '2134567890', 'Los Angeles, California'),
(161, 394, 17, 'Ava Foster', 'F', 26, 'AvaFoster@gmail.com', '5127893456', 'Austin, Texas'),
(162, 119, 9, 'Lucas Simmons', 'M', 30, 'LucasSimmons@gmail.com', '4156789012', 'San Francisco, California'),
(163, 244, 1, 'Isabella Coleman', 'F', 31, 'IsabellaColeman@gmail.com', '7865432178', 'Miami, Florida'),
(164, 37, 13, 'Elijah Johnson', 'M', 28, 'ElijahJohnson@gmail.com', '6789012345', 'Atlanta, Georgia'),
(165, 445, 4, 'Sophia Reed', 'F', 29, 'SophiaReed@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(166, 299, 11, 'Oliver Anderson', 'M', 32, 'OliverAnderson@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(167, 51, 6, 'Mia Collins', 'F', 35, 'MiaCollins@gmail.com', '2134567890', 'Los Angeles, California'),
(168, 122, 16, 'Noah Peterson', 'M', 26, 'NoahPeterson@gmail.com', '5127893456', 'Austin, Texas'),
(169, 178, 2, 'Ava Foster', 'F', 30, 'AvaFoster@gmail.com', '4156789012', 'San Francisco, California'),
(170, 258, 9, 'Lucas Simmons', 'M', 31, 'LucasSimmons@gmail.com', '7865432178', 'Miami, Florida'),
(171, 90, 13, 'Isabella Coleman', 'F', 28, 'IsabellaColeman@gmail.com', '6789012345', 'Atlanta, Georgia'),
(172, 238, 3, 'Elijah Johnson', 'M', 29, 'ElijahJohnson@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(173, 403, 7, 'Sophia Reed', 'F', 32, 'SophiaReed@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(174, 82, 15, 'Oliver Anderson', 'M', 35, 'OliverAnderson@gmail.com', '2134567890', 'Los Angeles, California'),
(175, 164, 10, 'Mia Collins', 'F', 26, 'MiaCollins@gmail.com', '5127893456', 'Austin, Texas'),
(176, 327, 1, 'Noah Peterson', 'M', 30, 'NoahPeterson@gmail.com', '4156789012', 'San Francisco, California'),
(177, 61, 6, 'Ava Foster', 'F', 31, 'AvaFoster@gmail.com', '7865432178', 'Miami, Florida'),
(178, 280, 12, 'Lucas Simmons', 'M', 28, 'LucasSimmons@gmail.com', '6789012345', 'Atlanta, Georgia'),
(179, 169, 14, 'Isabella Coleman', 'F', 29, 'IsabellaColeman@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(180, 209, 5, 'Elijah Johnson', 'M', 32, 'ElijahJohnson@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(181, 132, 9, 'Sophia Reed', 'F', 35, 'SophiaReed@gmail.com', '2134567890', 'Los Angeles, California'),
(182, 244, 17, 'Oliver Anderson', 'M', 26, 'OliverAnderson@gmail.com', '5127893456', 'Austin, Texas'),
(183, 57, 4, 'Mia Collins', 'F', 30, 'MiaCollins@gmail.com', '4156789012', 'San Francisco, California'),
(184, 271, 3, 'Noah Peterson', 'M', 31, 'NoahPeterson@gmail.com', '7865432178', 'Miami, Florida'),
(185, 193, 13, 'Ava Foster', 'F', 28, 'AvaFoster@gmail.com', '6789012345', 'Atlanta, Georgia'),
(186, 319, 2, 'Lucas Simmons', 'M', 29, 'LucasSimmons@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(187, 23, 7, 'Isabella Coleman', 'F', 32, 'IsabellaColeman@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(188, 434, 12, 'Elijah Johnson', 'M', 35, 'ElijahJohnson@gmail.com', '2134567890', 'Los Angeles, California'),
(189, 95, 10, 'Sophia Reed', 'F', 26, 'SophiaReed@gmail.com', '5127893456', 'Austin, Texas'),
(190, 148, 1, 'Oliver Anderson', 'M', 30, 'OliverAnderson@gmail.com', '4156789012', 'San Francisco, California'),
(191, 112, 6, 'Mia Collins', 'F', 31, 'MiaCollins@gmail.com', '7865432178', 'Miami, Florida'),
(192, 49, 9, 'Noah Peterson', 'M', 28, 'NoahPeterson@gmail.com', '6789012345', 'Atlanta, Georgia'),
(193, 372, 17, 'Ava Foster', 'F', 29, 'AvaFoster@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(194, 429, 4, 'Lucas Simmons', 'M', 32, 'LucasSimmons@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(195, 313, 11, 'Isabella Coleman', 'F', 35, 'IsabellaColeman@gmail.com', '2134567890', 'Los Angeles, California'),
(196, 405, 15, 'Elijah Johnson', 'M', 26, 'ElijahJohnson@gmail.com', '5127893456', 'Austin, Texas'),
(197, 268, 2, 'Sophia Reed', 'F', 30, 'SophiaReed@gmail.com', '4156789012', 'San Francisco, California'),
(198, 178, 9, 'Oliver Anderson', 'M', 31, 'OliverAnderson@gmail.com', '7865432178', 'Miami, Florida'),
(199, 83, 13, 'Mia Collins', 'F', 28, 'MiaCollins@gmail.com', '6789012345', 'Atlanta, Georgia'),
(200, 405, 3, 'Noah Peterson', 'M', 29, 'NoahPeterson@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(201, 221, 5, 'Ava Foster', 'F', 32, 'AvaFoster@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(202, 177, 10, 'Lucas Simmons', 'M', 35, 'LucasSimmons@gmail.com', '2134567890', 'Los Angeles, California'),
(203, 143, 1, 'Isabella Coleman', 'F', 26, 'IsabellaColeman@gmail.com', '5127893456', 'Austin, Texas'),
(204, 106, 6, 'Elijah Johnson', 'M', 30, 'ElijahJohnson@gmail.com', '4156789012', 'San Francisco, California'),
(205, 51, 16, 'Sophia Reed', 'F', 31, 'SophiaReed@gmail.com', '7865432178', 'Miami, Florida'),
(206, 19, 3, 'Oliver Anderson', 'M', 28, 'OliverAnderson@gmail.com', '6789012345', 'Atlanta, Georgia'),
(207, 66, 13, 'Mia Collins', 'F', 29, 'MiaCollins@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(208, 246, 7, 'Noah Peterson', 'M', 32, 'NoahPeterson@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(209, 369, 12, 'Ava Foster', 'F', 35, 'AvaFoster@gmail.com', '2134567890', 'Los Angeles, California'),
(210, 236, 4, 'Lucas Simmons', 'M', 26, 'LucasSimmons@gmail.com', '5127893456', 'Austin, Texas'),
(211, 433, 3, 'Isabella Coleman', 'F', 30, 'IsabellaColeman@gmail.com', '4156789012', 'San Francisco, California'),
(212, 229, 9, 'Elijah Johnson', 'M', 31, 'ElijahJohnson@gmail.com', '7865432178', 'Miami, Florida'),
(213, 368, 17, 'Sophia Reed', 'F', 28, 'SophiaReed@gmail.com', '6789012345', 'Atlanta, Georgia'),
(214, 350, 2, 'Oliver Anderson', 'M', 29, 'OliverAnderson@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(215, 408, 5, 'Mia Collins', 'F', 32, 'MiaCollins@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(216, 291, 11, 'Noah Peterson', 'M', 35, 'NoahPeterson@gmail.com', '2134567890', 'Los Angeles, California'),
(217, 151, 6, 'Ava Foster', 'F', 26, 'AvaFoster@gmail.com', '5127893456', 'Austin, Texas'),
(218, 102, 16, 'Lucas Simmons', 'M', 30, 'LucasSimmons@gmail.com', '4156789012', 'San Francisco, California'),
(219, 263, 1, 'Isabella Coleman', 'F', 31, 'IsabellaColeman@gmail.com', '7865432178', 'Miami, Florida'),
(220, 233, 13, 'Elijah Johnson', 'M', 28, 'ElijahJohnson@gmail.com', '6789012345', 'Atlanta, Georgia'),
(221, 22, 14, 'Sophia Reed', 'F', 29, 'SophiaReed@gmail.com', '5043217890', 'New Orleans, Louisiana'),
(222, 294, 7, 'Oliver Anderson', 'M', 32, 'OliverAnderson@gmail.com', '7023456789', 'Las Vegas, Nevada'),
(223, 142, 5, 'Mia Collins', 'F', 35, 'MiaCollins@gmail.com', '2134567890', 'Los Angeles, California'),
